carrier,plan_type,plan_name,plan_price,plan_data,plan_features
virgin,postpaid,"60GB data, talk & text",39.0,60.0,"• Unlimited Canada-wide calling & texting
• Unlimited calling to US
• Bangladesh
• China
• Hong Kong
• India
• Mexico
• and United Kingdom
• Unlimited international texting from Canada
• Call Display
• Voicemail
• Call Waiting and Conference Calling
• Hotspot capabilities"
virgin,postpaid,"80GB data, talk & text",54.0,80.0,"• Unlimited Canada-wide calling & texting
• Unlimited calling to US
• Bangladesh
• China
• Hong Kong
• India
• Mexico
• and United Kingdom
• Unlimited international texting from Canada
• Call Display
• Voicemail
• Call Waiting and Conference Calling
• Hotspot capabilities"
virgin,postpaid,"250MB data, talk & text",19.0,0.244140625,"• 100 outgoing calls minutes+ Unlimited incoming
• Unlimited Canada-wide texting"
virgin,postpaid,"3GB data, talk & text",39.0,3.0,• Unlimited Canada-wide calling & texting
koodo,postpaid,25 $,25.0,0.0,"Pay-per-use data, Unlimited Canada-wide minutes, Unlimited Canada-wide messaging (text & picture)"
koodo,postpaid,34 $,34.0,60.0,"60 GB of Shock-Free® Data at 4G Speed, Unlimited Canada-wide minutes, Unlimited Canada-wide messaging (text & picture), Pick 1 FREE Perk from options like Data Rollover"
koodo,postpaid,54 $,54.0,80.0,"80 GB of Shock-Free® Data at 4G Speed, Unlimited Canada-wide minutes, Unlimited Canada-wide messaging (text & picture), Pick 1 FREE Perk from options like Data Rollover"
koodo,postpaid,15 $,15.0,0.244140625,"250MB of Shock-Free® Data at 3G Speed, 100 Canada-wide minutes with unlimited incoming minutes, Unlimited Canada-wide messaging (text only)"
koodo,postpaid,35 $,35.0,3.0,"3GB of Shock-Free® Data at 3G Speed, Unlimited Canada-wide minutes, Unlimited Canada-wide messaging (text & picture)"
koodo,postpaid,37.50 $,37.5,2.0,"2GB of Shock-Free® Data at 4G Speed, Unlimited Canada-wide minutes, Unlimited Canada-wide messaging (text & picture)"
fido,postpaid,"2GB, Talk & Text - BYOP",37.5,2.0,"• Unlimited Canada-wide talk and text
500 international texts
Hotspot available as an add-on
Get 3% cash back value with a Rogers Red credit card"
fido,postpaid,"60GB, Talk & Text - BYOP",44.0,60.0,"• Unlimited Canada-wide talk and text
500 international texts
Hotspot available as an add-on
Get 3% cash back value with a Rogers Red credit card"
fido,postpaid,"80GB, Talk & Text - BYOP",54.0,80.0,"• Unlimited Canada-wide talk and text
1000 international texts
Hotspot available as an add-on
Get 3% cash back value with a Rogers Red credit card"
