carrier,data,price,features
Virgin,Get an 8GB bonus on 50GB for $45/mo.,Get an 8GB bonus on 50GB for $45/mo.,
Virgin,Bonus 8GB available on all $45+ plans.,Bonus 8GB available on all $45+ plans.,
Virgin,"50GB data, talk & text",Shop online and we’ll waive the $70 connection service fee.,"Unlimited talk and text plus lots of 4G LTE data.; 50GB data, talk & text"
Virgin,New activations only. Bonus: 8GB of data will be applied to your account.,$45/MO,Unlimited Canada-wide calling & texting; Unlimited international texting from Canada
Virgin,"75GB data, talk & text",$55/MO,"75GB data, talk & text; Unlimited Canada-wide calling & texting; Unlimited international texting from Canada"
Virgin,New activations only. Bonus: 8GB of data will be applied to your account.,$30/MO,Unlimited talk and text.; Unlimited Canada-wide calling & texting
Virgin,"250MB data, talk & text",$19/MO,"250MB data, talk & text; 100 outgoing calls minutes+ Unlimited incoming; Unlimited Canada-wide texting"
Virgin,"3GB data, talk & text",$39/MO,"3GB data, talk & text; Unlimited Canada-wide calling & texting"
Virgin,Sitemap Media Releases Jobs Virgin.com Legal & Regulatory Privacy & Security Wireless Code Member Rights Internet Code Member Rights,) and over 200 international destinations ($16/day,
Fido,"2GB, Talk & Text - BYOP","Save $70 on the Setup Service Fee when you buy online. Plus, enjoy no shipping fees on select devices with in-store pickup.","Data, Talk & Text; Talk & Text; All Data, Talk & Text plans (4G LTE Speeds) include; 2GB, Talk & Text - BYOP"
Fido,Data 2 GB,$37.50 per mo.,Unlimited Canada-wide calling 10
Fido,Now 60GB! Includes 10GB of bonus data for 24 months.,$,
Fido,Data 50 GB,$55.00/mo.,"50GB, Talk & Text - BYOP; Unlimited Canada-wide calling 10"
Fido,Eligible for a 10GB included per month,After $10.00 Automatic Payments Discount,
Fido,Data 75 GB,$65.00/mo.,"75GB, Talk & Text - BYOP; Unlimited Canada-wide calling 10"
Fido,Eligible for a 5GB included per month,After $10.00 Automatic Payments Discount,
