carrier,plan_name,data_amount in GB,price in $,plan_code,US Roaming
Virgin,BYOP,20,29,VHV1100,N
Virgin,BYOP,60,34,VHV1001,N
Virgin,BYOP,100,39,VHV1002,N
Virgin,Talk & Text,0,20,VHTNT,N
Bell,BYOD,100,49,RSTBYP100,N
Bell,BYOD,100,45,RES100BYA,N
Bell,BYOD,100,50,RES100USB,Y
Bell,BYOD,200,55,RUT200BYA,N
Bell,BYOD,200,65,RUBY200MZ,Y
Bell,Talk & Text,0,20,BSTTBY30,N
TELUS,Talk & Text,0,25,TEBY1000,N
TELUS,BYOP,100,45,TEBY1002,N
TELUS,BYOP,100,50,TEBY1003,Y
TELUS,BYOP,100,60,TEBY1004,N
TELUS,BYOP,200,70,TEBY1005,Y
ROGERS,Talk & Text,0,20,ROBY1009,N
ROGERS,BYOP,200,55,ROBY1010,N
ROGERS,BYOP,200,60,ROBY1011,N
ROGERS,BYOP,200,70,CAUSMEX,Y
ROGERS,BYOP,250,115,CAUSMEXMAX,Y
KOODO,Talk & Text,0,25,KOBY2000,N
KOODO,BYOP,2,37.5,KOBY2001,N
KOODO,BYOP,20,29,KOBY2002,N
KOODO,BYOP,60,34,KOBY2003,N
KOODO,BYOP,100,39,KOBY2004,N
FIDO,Talk & Text,0,20,FIBY3000,N
FIDO,BYOP,60,34,FIBY3001,N
FIDO,BYOP,100,39,FIBY3003,N
FIDO,BYOP,20,29,FIBY3004,N
